seed,algorithm,initial_best,best_distance,improvement,improvement_rate
7,ACO,576.6803,496.9985,79.6818,13.82%
7,GA,1294.1839,607.7656,686.4183,53.04%
7,PSO,1239.1131,793.5101,445.6030,35.96%
7,DE,1310.0021,881.8538,428.1483,32.68%
21,ACO,498.2741,435.9288,62.3453,12.51%
21,GA,1161.4314,599.5352,561.8962,48.38%
21,PSO,1297.3597,719.1135,578.2462,44.57%
21,DE,1260.9817,731.7897,529.1920,41.97%
42,ACO,518.6448,467.1230,51.5218,9.93%
42,GA,1295.1544,586.7944,708.3600,54.69%
42,PSO,1264.8670,782.4357,482.4313,38.14%
42,DE,1258.8685,801.5964,457.2721,36.32%
84,ACO,382.4328,350.4272,32.0057,8.37%
84,GA,1193.6998,437.3825,756.3173,63.36%
84,PSO,1142.7272,622.6567,520.0705,45.51%
84,DE,1164.7450,619.7947,544.9503,46.79%
168,ACO,540.5054,492.7866,47.7188,8.83%
168,GA,1429.0170,603.8316,825.1854,57.74%
168,PSO,1494.2970,792.2700,702.0270,46.98%
168,DE,1417.2737,885.5892,531.6845,37.51%
